       JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
1957 1011.30 1013.18 1015.93 1013.13 1011.02 1014.08 1016.02 1014.73 1015.75 1010.93 1007.43 1009.53
1958 1012.68 1014.30 1013.53 1014.73 1010.68 1013.13 1013.75 1015.47 1017.33 1015.20 1013.80 1012.77
1959 1015.33 1013.72 1015.77 1015.67 1013.63 1013.58 1015.52 1014.30 1018.15 1015.03 1015.03 1012.50
1960 1012.07 1014.55 1016.72 1014.73 1013.28 1013.48 1014.68 1015.42 1015.47 1013.92 1013.80 1013.65
1961 1013.70 1012.78 1015.22 1016.37 1015.20 1013.28 1016.22 1017.03 1014.87 1015.60 1015.05 1015.05
1962 1014.95 1012.98 1014.32 1016.30 1013.23 1010.67 1014.37 1013.82 1014.18 1013.58 1011.23 1013.85
1963 1014.75 1015.52 1016.97 1016.73 1012.22 1015.53 1014.77 1011.87 1013.10 1017.48 1013.03 1012.25
1964 1009.85 1014.93 1014.00 1015.10 1015.20 1012.12 1008.83 1012.20 1015.62 1013.92 1010.37 1009.78
1965 1013.73 1010.88 1013.28 1015.67 1011.65 1015.77 1015.05 1016.72 1014.73 1016.97 1013.50 1011.32
1966 1012.57 1013.88 1014.37 1014.60 1011.75 1014.35 1013.60 1018.25 1015.78 1014.98 1011.72 1011.85
1967 1009.92 1013.25 1017.70 1016.23 1014.00 1017.47 1016.95 1016.72 1016.20 1015.48 1011.38 1011.30
1968 1012.82 1014.65 1017.20 1012.25 1011.20 1013.47 1015.70 1015.47 1012.75 1011.78 1009.88 1011.83
1969 1009.22 1013.33 1015.62 1014.08 1016.62 1014.98 1016.40 1017.62 1014.80 1015.92 1015.55 1011.27
1970 1013.53 1016.38 1013.43 1013.78 1013.87 1015.25 1011.88 1016.58 1013.82 1013.22 1014.40 1012.57
1971 1014.17 1016.45 1017.35 1014.83 1012.58 1014.05 1016.53 1014.52 1012.20 1012.30 1012.78 1010.48
1972 1011.42 1015.80 1015.75 1012.87 1014.43 1015.63 1013.03 1015.15 1013.52 1012.95 1014.28 1009.53
1973 1013.17 1017.08 1016.47 1015.12 1012.05 1014.23 1019.02 1016.42 1011.88 1013.95 1012.48 1015.23
1974 1014.82 1016.22 1018.70 1017.07 1015.58 1014.85 1012.60 1012.53 1015.18 1013.42 1012.47 1009.40
1975 1011.53 1014.60 1015.08 1015.32 1010.67 1014.08 1012.70 1014.30 1016.78 1014.90 1012.80 1013.63
1976 1012.55 1016.97 1016.52 1016.65 1015.12 1013.82 1014.27 1014.78 1016.87 1015.90 1011.72 1006.28
1977 1009.42 1015.35 1014.92 1014.20 1013.42 1011.75 1013.08 1015.03 1016.17 1013.62 1012.33 1010.38
1978 1013.35 1014.67 1016.13 1016.82 1013.65 1014.37 1012.83 1016.70 1016.30 1015.33 1012.72 1012.05
1979 1013.52 1014.00 1017.15 1013.93 1015.68 1015.47 1016.70 1016.68 1013.57 1014.78 1012.53 1009.92
1980 1013.10 1015.07 1013.40 1015.10 1013.07 1016.30 1012.95 1014.08 1010.30 1015.18 1011.57 1012.52
1981 1014.53 1016.60 1015.38 1013.15 1016.12 1014.25 1012.65 1013.83 1011.48 1012.85 1015.80 1014.85
1982 1012.02 1015.72 1019.13 1017.40 1011.42 1016.57 1015.42 1016.17 1015.82 1013.25 1011.77 1010.18
1983 1010.12 1018.17 1015.42 1014.72 1013.88 1014.43 1016.50 1015.02 1011.98 1015.80 1017.17 1013.75
1984 1010.82 1013.18 1015.23 1015.10 1014.40 1015.25 1014.17 1012.98 1013.17 1015.18 1013.97 1008.83
1985 1011.03 1014.55 1016.05 1017.45 1015.85 1011.93 1015.35 1016.12 1014.90 1015.33 1014.40 1014.90
1986 1013.18 1012.37 1016.25 1013.67 1012.10 1012.15 1012.85 1017.15 1016.37 1012.83 1013.00 1013.33
1987 1010.40 1012.48 1013.77 1015.62 1013.28 1013.58 1015.18 1015.75 1013.17 1014.52 1013.85 1012.43
1988 1013.70 1014.27 1013.90 1018.55 1012.53 1012.28 1013.88 1012.85 1011.03 1011.20 1015.23 1015.00
1989 1013.72 1015.17 1016.03 1017.05 1016.83 1015.68 1014.22 1014.72 1014.80 1013.72 1014.58 1013.10
1990 1013.15 1016.78 1017.27 1013.95 1011.32 1014.03 1012.53 1014.45 1016.82 1015.32 1013.38 1011.18
1991 1012.43 1014.42 1016.05 1013.35 1014.88 1015.25 1013.27 1012.95 1010.83 1014.82 1012.60 1012.20
1992 1012.98 1015.23 1015.28 1016.53 1012.10 1011.97 1012.45 1013.60 1014.80 1016.18 1014.30 1012.97
1993 1011.22 1015.18 1015.90 1017.82 1015.55 1012.73 1017.23 1016.27 1015.20 1014.73 1014.18 1013.48
1994 1012.38 1017.30 1016.90 1015.17 1012.45 1013.58 1014.53 1016.37 1012.20 1014.10 1011.87 1014.27
