       JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
1957  989.75  989.17  985.93  988.50  993.05  994.23  986.95  992.15  983.85  984.25  990.20  996.03
1958  989.30  992.40  988.25  986.50  993.23  992.02  994.10  982.93  981.98  985.17  985.62  985.82
1959  989.05  985.17  987.38  991.70  989.50  993.80  989.67  990.63  981.20  985.73  978.23  991.28
1960  985.55  984.12  977.83  986.68  989.93  989.97  986.95  985.03  980.63  985.28  982.55  985.05
1961  988.33  992.58  985.73  989.55  986.75  990.28  987.55  986.65  989.93  980.50  984.38  983.32
1962  986.02  984.67  984.50  983.48  990.07  994.60  986.08  983.32  984.52  981.93  988.32  985.55
1963  982.80  984.43  982.45  985.22  989.52  987.98  986.70  998.12  988.30  983.73  981.27  989.00
1964  994.82  989.12  986.33  984.23  980.83 1001.30 1003.62  987.45  980.13  980.55  990.03  990.87
1965  992.68  997.98  984.92  989.18  992.70  988.37  988.98  990.08  984.05  982.92  980.00  994.20
1966  987.38  991.92  990.98  986.85  990.97  989.65  993.75  979.33  985.05  980.08  987.95  991.30
1967  995.33  993.88  986.85  989.17  990.78  990.17  988.18  986.18  982.72  983.33  988.40  989.13
1968  989.90  990.58  991.60  989.07  992.22  989.78  983.25  985.95  982.82  986.38  988.93  990.47
1969  996.35  991.47  988.28  991.88  989.17  996.68  983.98  984.12  982.72  987.52  985.57  988.73
1970  988.53  986.22  987.25  988.63  987.47  991.37  987.35  983.22  991.27  986.82  986.52  993.13
1971  993.13  988.95  983.30  989.82  996.95  985.90  989.75  987.62  987.67  984.73  985.93  992.82
1972  991.75  989.08  991.78  991.13  990.48  993.52  990.33  994.00  986.35  983.93  983.00  989.77
1973  993.23  987.10  980.95  985.18  993.08  991.80  986.80  981.33  984.42  985.70  985.37  984.47
1974  989.45  984.65  983.98  990.47  991.02  992.72  989.17  995.70  978.45  984.58  991.22  994.42
1975  992.68  989.08  987.88  984.95  996.05  992.25  995.23  984.45  983.65  982.10  983.88  990.10
1976  992.87  987.80  987.73  984.55  983.58  990.25  984.52  983.83  982.08  982.62  991.65 1001.13
1977  993.83  987.37  987.35  988.83  991.08  992.55  993.27  987.47  976.82  980.23  983.82  989.45
1978  985.87  986.88  989.50  987.98  992.33  988.58  994.12  978.08  982.97  982.85  987.40  988.42
1979  988.57  987.32  984.38  985.38  986.02  985.15  978.27  984.48  982.95  981.97  987.98  993.12
1980  990.12  991.12  988.12  992.18  988.95  984.88  992.25  990.18  987.20  983.22  988.55  989.92
1981  990.00  985.43  992.22  993.68  990.25  989.97  990.32  990.80  985.05  980.27  983.32  983.47
1982  990.70  986.45  980.60  981.82  985.63  988.60  990.23  984.73  980.65  986.73  989.83  995.37
1983  992.62  990.13  987.10  987.48  991.85  990.43  985.10  985.38  982.90  979.68  981.58  984.47
1984  992.33  987.92  985.68  987.08  991.53  990.00  988.20  989.90  982.78  981.30  985.87  997.47
1985  994.00  986.17  986.62  988.32  991.92  994.55  977.35  983.50  980.98  983.22  980.18  985.10
1986  989.13  993.98  990.55  985.07  994.37  989.30  984.00  984.55  977.07  980.20  983.02  984.62
1987  993.33  988.50  984.62  988.02  988.70  988.90  990.95  980.28  984.98  980.60  980.63  987.70
1988  990.80  985.37  987.57  986.92  994.73  997.63  983.35  988.17  989.05  994.02  983.92  985.43
1989  991.28  984.47  985.75  990.60  978.68  984.27  983.05  989.98  985.92  981.62  986.13  990.93
1990  990.95  985.28  986.75  994.85  997.82  991.87  991.88  983.70  980.37  985.15  984.63  987.45
1991  984.27  989.90  983.22  986.97  986.42  990.18  992.47  982.45  987.97  979.70  986.70  994.88
1992  989.40  991.73  987.93  987.70  994.35  997.07  986.77  983.53  980.85  984.85  982.68  987.47
1993  993.67  985.37  986.35  986.33  983.05  985.78  981.17  977.95  981.23  979.77  982.43  984.62
1994  987.25  984.33  983.58  988.95  992.02  998.45  988.78  983.05  985.27  983.52  990.45  983.68
1995  986.60  987.37  986.48  986.33  984.75  992.02  997.20  988.50  976.83  985.47  986.12  983.80
1996  990.88  990.57  983.57  987.62  985.43  989.17  989.20  986.42  992.57  979.80  988.17  989.45
1997  988.60  987.12  981.55  986.77  986.27  992.88  983.30  982.95  985.65  984.72  992.55  992.13
1998  985.68  985.28  983.82  979.43  986.25  985.77  983.30  982.35  984.43  982.70  981.08  981.37
1999  987.48  987.37  988.73  982.25  983.53  995.87  986.30  984.13  986.82  976.85  982.88  979.80
2000  981.33  985.53  988.43  988.10  984.63  989.40  990.32  987.70  991.00  980.73  989.90  993.28
2001  987.65  991.12  986.22  982.62  991.38  987.88  990.12  982.45  981.77  981.18  982.48  983.18
2002  986.17  981.28  991.85  985.38  992.58  989.85  989.98  984.68  988.03  992.00  986.27  983.50
2003  992.43  990.12  988.87  984.98  988.65  996.52  985.15  978.23  984.15  985.35  984.72  994.18
2004  985.02  990.90  981.53  985.37  989.23  982.97  982.32  983.57  979.48  984.45  986.85  990.87
2005  988.75  983.07  986.52  982.55  988.55  994.22  988.15  983.38  984.30  983.50  986.40  996.82
2006  988.55  988.52  983.82  988.12  981.40  987.02  982.78  994.87  986.50  980.87  983.30  985.35
2007  989.83  985.33  988.75  989.30  991.12  994.13  997.88  986.22  989.47  984.47  987.25  982.42
2008  985.23  983.95  986.98  988.72  990.27  986.68  987.80  984.22  983.35  978.88  983.10  983.10
2009  984.63  986.10  985.02  989.35  990.22  991.57  989.53  990.62  988.12  982.22  988.52  986.43
2010  991.85  991.38  986.23  986.32  986.50  981.82  980.22  981.02  984.38  981.80  981.68  990.33
2011  991.70  986.25  988.22  987.88  984.65  991.52  994.62  991.60  988.55  983.30  990.50  981.18
2012  979.75  987.45  985.80  986.55  987.52  988.80  982.70  983.05  983.72  981.83  989.48  990.78
2013  987.63  983.00  982.30  985.22  986.43  992.48  986.82  992.67  991.23  985.03  985.75  987.00
2014  990.00  985.82  985.40  987.43  991.57  989.35  985.02  985.75  990.25  981.42  986.17  982.30
2015  987.08  980.80  981.87  983.18  985.82  987.05  982.82  980.52  981.12  987.13  981.30  987.02
2016  983.77  984.58  978.47  984.62  987.25  982.25  985.77  989.65  978.62  983.22  988.73  990.75
2017  991.37  989.15  990.22  986.38  984.88  987.50  985.25  982.07  979.95  985.62  983.10  983.77
2018  984.02  983.50  987.15  988.70  989.05  994.10  985.52  987.10  980.42  980.82  980.32  984.38
2019  984.13  988.30  985.87  986.82  990.60  986.15  990.13  986.47  982.35  986.50  993.03  995.47
2020  990.15  988.02  981.82  987.65  986.25  987.97  988.95  990.85  985.43  982.00  982.90  981.17  
